Move,RPRICE,MPRICE
66,3.49,2.679971
423,2.99,1.680081
92,3.49,2.679971
118,3.49,2.679971
1884,2.495,0.6813845
119,3.49,2.679971
1025,2.995,1.6828905
217,2.995,1.6828905
2163,2.395,0.480916
178,3.49,2.679971
91,3.49,2.679971
110,3.49,2.679971
17,3.49,2.679971
50,3.49,2.679971
104,3.49,2.679971
40,3.49,2.679971
103,3.49,2.679971
286,3.49,2.679971
85,3.49,2.679971
83,3.49,2.679971
968,2.495,0.6813845
135,3.49,2.679971
807,2.99,1.680081
132,3.49,2.679971
833,2.99,1.680081
49,3.49,2.679971
81,3.49,2.679971
31,3.49,2.679971
51,3.49,2.679971
109,3.49,2.679971
98,3.49,2.679971
62,3.49,2.679971
119,3.49,2.679971
86,3.49,2.679971
258,3.29,2.27997
139,3.49,2.679971
64,3.49,2.679971
121,3.49,2.679971
74,3.49,2.679971
731,3.49,2.679971
38,3.49,2.679971
53,3.49,2.679971
226,3.49,2.679971
593,3.49,2.679971
21,3.49,2.679971
95,3.49,2.679971
17,3.49,2.679971
71,3.49,2.679971
40,3.49,2.679971
175,3.29,2.27997
38,3.49,2.679971
102,3.49,2.679971
277,3.39,2.480124
36,3.49,2.679971
161,3.49,2.679971
709,2.99,1.680081
26,3.49,2.679971
18,3.49,2.679971
57,3.49,2.679971
618,2.99,1.680081
28,3.49,2.679971
92,3.49,2.679971
39,3.49,2.679971
44,3.49,2.679971
143,3.49,2.679971
146,3.49,2.520129
30,3.49,2.520129
33,3.69,2.919897
69,3.69,2.919897
30,3.69,2.919897
79,3.69,2.919897
268,3.39,2.320116
20,3.69,2.919897
627,2.99,1.520116
157,3.69,2.919897
367,3.49,2.520129
20,3.49,2.520129
22,3.69,2.919897
516,2.99,1.520116
54,3.69,2.919897
27,3.69,2.919897
35,3.69,2.919897
79,3.69,2.919897
88,3.69,2.919897
14,3.69,2.919897
23,3.69,2.919897
59,3.69,2.919897
758,2.99,1.520116
72,3.69,2.919897
29,3.69,2.919897
94,3.69,2.919897
310,3.29,2.120076
22,3.69,2.919897
66,3.99,3.350004
28,3.69,2.919897
727,3.69,2.919897
75,3.69,2.919897
32,3.69,2.919897
11,3.69,2.919897
270,3.29,2.120076
61,3.69,2.919897
15,3.69,2.920266
87,3.69,2.920266
47,3.69,3.157164
614,2.89,2.430201
36,3.69,3.350151
492,2.78,2.2101
26,3.69,3.350151
86,3.69,3.350151
61,3.69,3.350151
13,3.69,3.350151
16,3.69,3.350151
49,3.69,3.350151
500,2.81,2.270199
633,2.49,1.630203
84,3.69,3.370077
270,3.29,2.120076
80,3.69,3.004029
19,3.69,3.507345
23,3.69,3.170079
51,3.69,3.54609
429,2.99,2.480205
75,3.69,3.500334
38,3.69,3.500334
227,3.49,3.480228
86,3.69,3.500334
219,3.29,2.625091
46,3.69,2.920266
45,3.69,2.920266
657,2.99,1.520116
78,3.69,2.920266
38,3.69,2.920266
417,2.99,1.520116
33,3.69,2.920266
56,3.69,2.920266
67,3.69,2.920266
23,3.69,2.920266
64,3.69,2.920266
224,3.29,2.120076
53,3.39,2.320116
48,3.69,2.920266
230,2.99,1.520116
22,3.69,2.920266
40,3.69,2.920266
76,3.69,4.459734
255,2.99,4.459884
13,3.69,4.459734
38,3.69,4.459734
84,2.79,4.459815
69,3.54,4.459692
60,3.69,4.459734
23,3.69,3.968964
46,3.69,3.050154
487,2.79,3.049749
81,3.69,3.954942
146,3.29,3.604853
58,3.69,3.500334
75,3.69,3.486312
62,3.69,3.250152
191,2.99,3.249831
73,3.69,3.500334
109,3.29,3.499902
70,3.69,3.500334
165,3.32,4.153984
83,3.69,4.209921
82,3.69,3.500334
44,3.69,3.500334
311,2.56,4.199936
245,2.49,4.209843
282,3.28,3.49976
105,3.28,3.49976
562,2.99,4.234737
114,2.99,4.234737
551,2.99,3.499795
105,3.13,3.499966
265,3.49,3.499772
99,3.49,4.234766
78,3.69,4.234644
39,3.69,4.459734
45,3.69,4.459734
43,3.69,4.459734
58,3.69,4.459734
33,3.69,4.459734
71,3.69,4.459734
414,2.99,4.25178
86,3.69,3.500334
38,3.69,3.500334
351,2.99,4.234737
50,4.49,4.235417
26,4.49,3.500404
39,4.49,3.500404
43,4.49,3.500404
485,2.99,4.234737
84,3.29,4.234888
25,4.49,3.500404
53,4.49,3.980385
438,2.99,4.459884
57,4.49,4.460366
82,4.49,4.460366
70,4.49,3.460443
27,4.49,3.460443
65,4.49,3.460443
403,2.99,3.459729
22,4.49,3.460443
150,3.99,3.460128
60,4.49,3.460443
238,3.29,3.459764
30,4.49,3.460443
55,4.49,3.460443
214,3.29,3.459764
36,4.45,3.46032
162,3,3.4599
47,4.42,3.460418
393,2.99,3.459729
54,4.49,3.460443
48,4.49,3.460443
56,4.49,3.5022
21,4.49,3.800336
225,3.02,3.799764
432,2.99,3.799991
308,3.28,3.79988
37,4.49,3.838052
115,3.79,4.274741
42,4.47,4.275108
143,3.69,4.274865
32,4.46,4.275356
142,3.69,4.274865
143,3.69,4.274865
1,3.69,4.274865
32,4.46,4.275356
12,4.49,3.839399
76,3.99,4.274886
37,4.49,4.275378
103,3.79,4.274741
14,4.44,4.275276
102,3.49,3.275016
75,3.49,3.275016
124,3.49,3.275016
62,4.49,3.275006
20,4.49,4.646701
22,4.49,4.79981
47,4.25,4.79995
40,3.99,4.79997
40,3.99,4.79997
55,3.69,3.275244
53,3.99,3.275391
1025,2.54,3.274822
44,3.44,3.275224
95,3.69,4.799952
58,3.99,4.79997
